編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/12/17 上午 10:24:00,121.88,23.74,35.4,4.1,花蓮縣政府東南方  38.6  公里 (位於臺灣東部海域)
137   ,2018/12/16 上午 05:21:00,121.9,23.74,30.3,5.6,花蓮縣政府東南方  40.0  公里 (位於臺灣東部海域)
小區域,2018/12/15 上午 10:33:00,121.84,24.49,22.6,3.3,宜蘭縣政府南偏東方  28.4  公里 (位於宜蘭縣蘇澳鎮)
小區域,2018/12/14 上午 06:48:00,120.62,23.39,12.6,3,嘉義縣政府東偏南方  34.1  公里 (位於嘉義縣番路鄉)
136   ,2018/12/14 上午 04:56:00,121.53,24.06,17.7,3.5,花蓮縣政府西北方  12.4  公里 (位於花蓮縣秀林鄉)
135   ,2018/12/12 下午 09:24:00,121.53,23.91,12,4.9,花蓮縣政府西南方  13.3  公里 (位於花蓮縣壽豐鄉)
小區域,2018/12/12 下午 07:37:00,120.68,23.09,6.9,3.7,高雄市政府東北方  64.2  公里 (位於高雄市六龜區)
小區域,2018/12/11 下午 07:08:00,121.02,24.73,8.4,2.3,新竹縣政府南方  10.6  公里 (位於新竹縣寶山鄉)
134   ,2018/12/10 下午 06:58:00,121.33,23.06,18.2,4.4,臺東縣政府北偏東方  38.1  公里 (位於臺東縣成功鎮)
133   ,2018/12/9 下午 11:15:00,121.53,24.05,19.2,5.1,花蓮縣政府西偏北方  11.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/12/9 下午 10:06:00,120.2,22.94,12.5,3,臺南市政府南偏東方  6.3  公里 (位於臺南市仁德區)
132   ,2018/12/9 上午 12:07:00,120.72,23.62,14.6,4.1,雲林縣政府東偏南方  21.2  公里 (位於雲林縣古坑鄉)
小區域,2018/12/8 下午 12:39:00,119.82,23.29,16.5,3.6,澎湖縣政府東南方  40.5  公里 (位於臺灣西部海域)
小區域,2018/12/8 上午 07:46:00,119.83,23.29,14.7,3.7,澎湖縣政府東南方  40.9  公里 (位於臺灣西部海域)
小區域,2018/12/4 下午 12:17:00,120.29,23.43,11,3.3,嘉義縣政府南偏西方  3.3  公里 (位於嘉義縣鹿草鄉)
小區域,2018/12/1 上午 09:15:00,121.78,24.41,5.8,2.9,宜蘭縣政府南方  35.9  公里 (位於宜蘭縣南澳鄉)
小區域,2018/11/28 上午 01:27:00,120.69,22.72,33.7,3.9,屏東縣政府東方  20.8  公里 (位於屏東縣三地門鄉)
小區域,2018/11/27 下午 07:25:00,121.83,24.7,83.6,4,宜蘭縣政府東偏南方  8.1  公里 (位於宜蘭縣近海)
